,Unnamed: 0,destination_name,flights_2019,mese_id,flights_2020,flights_2021,flights_2022
23,23,HU,2158.0,1,4186.0,932.0,3200.0
30,30,LT,1541.0,1,978.0,808.0,1794.0
38,38,PL,10036.0,1,13603.0,4661.0,11463.0
40,40,RO,4009.0,1,1149.0,1662.0,3112.0
42,42,RU,34172.0,1,35352.0,22323.0,30393.0
45,45,SK,690.0,1,796.0,435.0,703.0
47,47,UA,269.0,1,3831.0,2661.0,3927.0
73,73,HU,2960.0,2,4266.0,930.0,3050.0
80,80,LT,1085.0,2,569.0,708.0,1658.0
89,89,PL,9251.0,2,13713.0,3919.0,11010.0
91,91,RO,3628.0,2,1114.0,1378.0,2903.0
93,93,RU,30244.0,2,32127.0,18868.0,26469.0
96,96,SK,746.0,2,940.0,360.0,673.0
98,98,UA,157.0,2,3691.0,2131.0,2642.0
125,125,HU,3520.0,3,2911.0,1079.0,3906.0
132,132,LT,528.0,3,784.0,971.0,2020.0
141,141,PL,8744.0,3,8200.0,5611.0,16082.0
143,143,RO,3974.0,3,2814.0,1608.0,4372.0
145,145,RU,33410.0,3,30807.0,24114.0,21253.0
148,148,SK,744.0,3,517.0,636.0,1195.0
150,150,UA,1821.0,3,2371.0,2826.0,0.0
177,177,HU,4401.0,4,574.0,1123.0,4392.0
184,184,LT,145.0,4,277.0,1236.0,2302.0
193,193,PL,8969.0,4,2010.0,6613.0,16479.0
195,195,RO,4146.0,4,502.0,2156.0,5460.0
197,197,RU,35550.0,4,6267.0,27687.0,20063.0
200,200,SK,751.0,4,421.0,626.0,1096.0
202,202,UA,3932.0,4,261.0,3225.0,0.0
229,229,HU,4822.0,5,668.0,1299.0,4881.0
236,236,LT,53.0,5,446.0,1508.0,2940.0
245,245,PL,10827.0,5,2990.0,8473.0,20404.0
247,247,RO,4555.0,5,546.0,2506.0,5598.0
249,249,RU,39371.0,5,7724.0,33180.0,25400.0
252,252,SK,823.0,5,452.0,666.0,1476.0
254,254,UA,3416.0,5,546.0,3988.0,0.0
281,281,HU,5020.0,6,1231.0,2377.0,5165.0
288,288,LT,82.0,6,967.0,2085.0,3426.0
297,297,PL,12240.0,6,4458.0,14483.0,22494.0
299,299,RO,4934.0,6,1067.0,3614.0,6002.0
301,301,RU,40262.0,6,15190.0,40645.0,30862.0
304,304,SK,1106.0,6,508.0,1172.0,1766.0
306,306,UA,4616.0,6,742.0,5127.0,0.0
332,332,HU,5304.0,7,2239.0,3256.0,5191.0
339,339,LT,100.0,7,1737.0,2115.0,3522.0
348,348,PL,12889.0,7,10755.0,17396.0,22940.0
350,350,RO,2781.0,7,2547.0,4464.0,6396.0
352,352,RU,42811.0,7,23645.0,43441.0,34746.0
355,355,SK,1200.0,7,663.0,1357.0,1719.0
357,357,UA,5180.0,7,2394.0,5270.0,0.0
382,382,HU,5239.0,8,2478.0,3621.0,4801.0
389,389,LT,784.0,8,2141.0,2464.0,3776.0
398,398,PL,15201.0,8,12929.0,18183.0,23440.0
400,400,RO,1279.0,8,3287.0,4689.0,6334.0
402,402,RU,44521.0,8,29499.0,44335.0,37750.0
405,405,SK,1348.0,8,950.0,1303.0,1849.0
407,407,UA,5055.0,8,3393.0,5404.0,0.0
433,433,HU,3714.0,9,1437.0,3693.0,4863.0
440,440,LT,1742.0,9,1922.0,2405.0,3254.0
449,449,PL,16507.0,9,11689.0,17309.0,21908.0
451,451,RO,1418.0,9,2708.0,4384.0,5620.0
453,453,RU,42494.0,9,29982.0,35816.0,32471.0
456,456,SK,1409.0,9,833.0,1426.0,1634.0
458,458,UA,5017.0,9,3401.0,5260.0,0.0
483,483,HU,4296.0,10,1154.0,3517.0,4933.0
490,490,LT,1473.0,10,1433.0,2430.0,2998.0
498,498,PL,15612.0,10,9291.0,15892.0,20447.0
500,500,RO,3086.0,10,2509.0,3762.0,5746.0
502,502,RU,37473.0,10,26399.0,37969.0,26292.0
505,505,SK,1098.0,10,610.0,1116.0,1356.0
507,507,UA,4840.0,10,4361.0,4813.0,0.0
533,533,HU,4475.0,11,940.0,3506.0,4081.0
540,540,LT,1214.0,11,964.0,1890.0,2005.0
548,548,PL,12928.0,11,5866.0,13656.0,14987.0
550,550,RO,2750.0,11,1754.0,3119.0,5136.0
552,552,RU,34662.0,11,21467.0,32263.0,21044.0
555,555,SK,907.0,11,448.0,776.0,944.0
557,557,UA,4141.0,11,2883.0,3919.0,1.0
582,582,HU,4633.0,12,996.0,3733.0,3959.0
589,589,LT,1193.0,12,839.0,1936.0,1607.0
597,597,PL,13504.0,12,5349.0,13660.0,14143.0
599,599,RO,1014.0,12,1605.0,3514.0,4454.0
601,601,RU,36313.0,12,23459.0,30895.0,19770.0
604,604,SK,994.0,12,441.0,800.0,770.0
606,606,UA,4026.0,12,2930.0,4122.0,0.0
